Author,Username,Date,Content,Likes,Comments,Shares,Total Engagement,Hashtags,URL,Workspaces
Nicolas Boucher,unknown,2025-09-18,"Do you agree with this CEO vs CFO vs COO split?

🚨 BONUS: Free AI Masterclass here: https://lnkd.in/eTEcu-r9

FREE Masterclass for CFOs!

I will show in the webinar:
- How to become an AI CFO
- Why it matters so much for your future
- As well as 3 secrets to become an AI CFO

You will see
- Financial analysis with AI
- Scenario modeling with AI
- Automation with AI
- Commentaries with AI
- and an AI roadmap

👉 Save your spot: https://lnkd.in/eTEcu-r9

-

When companies grow,
roles at the top often get blurred

People know the titles… but not always the responsibilities

I built this guide to make it crystal clear
so next time you’re in a meeting,

You’ll know exactly who’s steering which part of the ship

1. Their Main Leadership Roles
CEO leads the company
CFO manages finances
COO oversees the day-to-day operations

2. On Strategic Vision
CEO drives strategy, growth, and innovation
CFO ensures stability and establishes discipline
COO implements the strategic initiatives

3. What Are Their Stakeholder Relations?
CEO represents the company to stakeholders and is the public face
CFO reports financials to the board and shareholders
COO liaises between different departments to ensure smooth execution

4. Their impact on the Company’s Values & Benchmarks
CEO sets corporate values
CFO sets financial benchmarks
COO ensures operational processes align with these values

5. Their Role in the Market Strategy
CEO drives global expansion
CFO optimizes existing markets
COO manages operational aspects of market penetration

6. What is their Client Focus?
CEO focuses on client acquisition
CFO focuses on client retention
COO enhances service delivery to facilitate both

7. Their Involvement with Risk Management
CEO sets the company’s risk appetite
CFO manages risk
COO mitigates operational risks

8. Their Relation to the Brand
CEO develops the brand
CFO tracks the performance
COO optimizes operational efficiency to uphold the brand promise

9. Their Role in Investments
CEO determines investment strategy
CFO manages investment portfolios
COO allocates resources to meet strategic objectives

10. Their Involvement in the Product Lifecycle
CEO drives product development
CFO monitors product profitability
COO coordinates product manufacturing and delivery

👉 Become an AI CFO here: https://lnkd.in/eTEcu-r9

Be one of the 1000s of CFOs who are making the change!

🔁 Repost to share leadership clarity",646,3,44,693,[],https://www.linkedin.com/feed/update/urn:li:groupPost:126776-7374389125917089792,Default
Nicolas Boucher,unknown,2025-09-17,"Are you using ChatGPT or Copilot?

+ If you are not sure, join my next masterclass: https://lnkd.in/einkvr_2

I will explain to you which AI tool you should choose for Finance

And also I will showcase my secrets on how to become an AI CFO!
1. Financial Analysis with AI
2. Scenario Modeling
3. AI Roadmap and more!


Which GenAI should you actually use
ChatGPT or Copilot?

That’s a question I get a lot

That’s why I created this guide for you.

Here’s my clear rules on which one to choose:

1 - INDIVIDUALS & SMALL BUSINESSES

You’re an individual or small business not fully in Microsoft or Google?

Recommendation: ChatGPT (take the Teams license if you’re a small business—it has enterprise-grade security and is SOC2 Type II compliant).

It has the best functionalities, best interface and always ships innovative models first.

Drawback: it's not yet fully connected with your business data (though it's improving with connectors to Google Drive, Calendar, OneDrive, Outlook).

This is the one I use for me and my team.


2 - BUSINESSES USING MICROSOFT

You guessed it: Copilot.

Why?
Because Copilot 365 with Microsoft 365 brings AI directly to your work data.

This is Copilot’s most underrated feature—and the main reason to choose it if you’re a Microsoft shop.

Try this:
Step 1. Switch to ""Work"" mode
Step 2. Type ""/"" in Copilot and access a doc
Step 3. Enter the file name
Step 4. Ask Copilot to perform a task on it
Step 5. AI works with real context from your files

That’s a huge advantage over ChatGPT or tools not connected to your work data, where you need preliminary steps to provide context

If you already trust Microsoft with Outlook and Excel online, Copilot makes perfect sense:
- No extra vendor to manage
- Your confidential info stays in Microsoft’s security graph (the same Copilot uses)
- No separate user/license management (it’s tied to Microsoft 365)

And Copilot is just getting started
I got insights from Microsoft teams telling me that they are working to integrate AI deeper with more promising features coming soon

Bottom line
Choose based on where your work lives, not the hype
Tell me which one is your favorite ones and why!

—

Oh if you are a CFO, and is interested in seeing how I teach 1000s of finance professional how to use AI

👉 You can join our ""How to become and AI CFO"" webinar here: https://lnkd.in/einkvr_2

Where I will showcase my secrets
On How to become an AI CFO!
1. Financial Analysis with AI, Cohort Analysis
2. Scenario Modeling with AI
3. AI Roadmap and more!

We also use ChatGPT in some of these tasks as well

September 26! Save the date!
Register here: https://lnkd.in/einkvr_2",888,48,111,1047,[],https://www.linkedin.com/posts/bouchernicolas_are-you-using-chatgpt-or-copilot-if-you-activity-7374177904760348673-kq_A,Default
Nate Saperia,nathansaperia,2025-09-17,"Accounting firms are scaling in wildly different ways right now.

→ Crete Professionals Alliance (Thrive-backed) plans to deploy $500M+ into acquisitions and AI upgrades, already surging past $300M revenue.
→ Prosperity Partners (Unity-backed) was #2 on Accounting Today’s 2025 Fastest-Growing Firms, expanding through multiple acquisitions.
→ Springline Advisory (Trinity Hunt) and Platform AG are rolling up boutiques into regional platforms.
→ Incumbents like Citrin Cooperman, Grant Thornton, and BDO are reshaping themselves with PE or private credit.

And now Aline Accounting Partners is testing something new: a $100M debt package with a $57.8M DDTL to fund add-ons. Starting from just $21M, they could add $40–60M and vault into the Top 100—without a disclosed PE sponsor.

It’s the same consolidation spectrum, but with a new twist: private credit as the driver instead of private equity.

Read more about the Aline story in this week's newsletter.",18,1,2,21,"[""#2""]",https://www.linkedin.com/posts/nathansaperia_accounting-firms-are-scaling-in-wildly-different-activity-7374385469553344512-cKZg,Default
Nate Saperia,nathansaperia,2025-09-17,"Inside finance teams, budget season is joked as “the most wonderful time of the year.” (Spoiler: it’s not.)

When I was more junior, my wife and I took our 8-month-old to visit her grandparents in Romania. On New Year’s Eve, while the family feasted on Sarmale (Romanian stuffed cabbage — IYKYK), I was hunched over my laptop obsessing over budget scenarios.

The process hadn’t been designed properly from the start — and the cost was personal.

That’s what happens when #budgeting is treated as a spreadsheet drill instead of a strategic process:
– Infighting over departmental dollars
– Analysts building models with no strategy behind them
– Deadlines blown
– Teams grinding through the holidays when it should already be locked down

It was a real learning experience, and I never let that happen again.

If you’re an #accounting firm with a December fiscal year-end, your Annual Operating Plan (AOP) process should already be underway — or kicking off right now.

Otherwise, you risk not only missed deadlines, but also missed time with family. And that’s time you don’t get back — whether it’s stuffed cabbage or whatever special treat is on your family’s table.

After 10+ years leading these cycles for consulting and accounting firms, I’ve seen two outcomes:
✅ Strategic AOPs that align leadership and chart growth
❌ Budgets that devolve into expense allocations no one revisits

For #ManagingPartners, this isn’t about spreadsheets — it’s one of the most important levers you have to set direction.

👉 So — at your firm, is #budget season a roadmap for growth… or an expense drill?
👉 And if you want to see what a best-in-class #AnnualOperatingPlan looks like, reach out.",7,2,1,10,"[""#budgeting"", ""#accounting"", ""#ManagingPartners"", ""#budget"", ""#AnnualOperatingPlan""]",https://www.linkedin.com/posts/nathansaperia_budgeting-accounting-managingpartners-activity-7374086382111346688-YIOQ,Default
Nicolas Boucher,unknown,2025-09-16,"From 34% to 72% in a year... this is crazy
Finance is adopting AI faster than you think 
I see it in all the trainings I give... but how can you really use it?

Yes you can use it for financial analysis... when you know which model and function to use it in your AI tool

Yes you can use it to create slides... when you know the limits and how to go around them to create the deck you need to impress your audience

Yes you can use it to automate tasks... when you know how to make AI write the scripts and where to place them

All of this I will teach in my free masterclass next Friday 26 September here:
https://lnkd.in/eCCfzPiJ 
(make sure to get your seat before it's full)

Let me know in DMs which other topics you would like to see",146,18,,164,[],https://www.linkedin.com/posts/bouchernicolas_from-34-to-72-in-a-year-this-is-crazy-activity-7373827976586485760-HcJR,Default
My Profile,saulmateos,2025-09-16,"Most startups don’t fail because the idea was bad.
They fail because the finances were.

I’ve seen it across industries
From SaaS to EVs to consumer goods.
The pattern repeats itself every time.

The first blind spot is cash flow mismanagement.
Revenue might be climbing.
The pipeline might be full.
But if cash is trapped in receivables or inventory, the business runs out of oxygen.
Profit on paper doesn’t matter if you can’t make payroll.

The second blind spot is scaling too fast.
I’ve watched companies add headcount, launch products, and pour money into marketing before proving the model.
It feels like momentum, until the burn rate outruns reality.
Growth without a financial foundation is just acceleration toward a cliff.

The third blind spot is poor forecasting.
Too many startups rely on spreadsheets built for today.
Static, fragile, already outdated by the time the quarter ends.
Without rolling forecasts and scenario planning, leadership reacts instead of anticipates.
And by the time they see the wall, it’s too late to swerve.

Here’s the truth 
Startups don’t need perfect forecasts.
They need realistic ones.
Ones that show exactly when cash will run out.
And what levers they can pull to extend runway.

Because surviving isn’t about brilliance.
It’s about clarity.
And clarity is what separates the startups that die from the ones that endure.

What’s the biggest financial pitfall you’ve seen a startup make?
Drop your story below, I want to hear it.",21,13,,34,[],https://www.linkedin.com/posts/saulmateos_most-startups-dont-fail-because-the-idea-activity-7373726673038540800-qWM7,Default
MoveDocs,unknown,2025-09-16,"We’re excited to be in Salt Lake City, Utah on September 29th – October 2nd for Filevine’s user conference, Lex Summit 2025, and we’d love to connect while you’re there! 👋

Visit the MoveDocs booth to connect with us in person and see how MoveDocs seamlessly integrates with Filevine. Plus, when you join us for a quick demo of MoveDocs, you’ll receive a JBL Bluetooth Speaker!

Want to skip the line? Schedule your demo now 👉 https://lnkd.in/gB92cuy6",15,,1,16,[],https://www.linkedin.com/posts/movedocs_were-excited-to-be-in-salt-lake-city-utah-activity-7373724859924668416-W0id,Gain Company
Nate Saperia,nathansaperia,2025-09-16,"What if an accounting firm could go from <$6M to a Top 100 player in just two years?

----
EDIT: full newsletter now live: https://lnkd.in/edS34wDu

Also includes discussion on Crete Professionals Alliance, Prosperity Partners, Springline Advisory, Platform Accounting Group and many others.
----

That’s the trajectory Aline Accounting Partners is chasing:
→ Formed in 2024 from three firms under $6M each
→ $21M in revenue today (#256 nationally)
→ 9 acquisitions already completed
→ Now backed by a $100M debt package, including a $57.8M delayed-draw term loan to fuel more

Houlihan Lokey, fresh off advising on some of the most significant OCFO & accounting firm transactions (Crete, CrossCountry, Williams Marston, E78, and more), advised on the deal.

It’s a structure straight out of the PE playbook: debt-fueled, acquisition-driven growth. If Aline deploys it fully, they could cross the $60M revenue threshold for Top 100 status in record time.

📩 I’ll unpack what this signals for accounting M&A and private credit in this week’s newsletter.

#Accounting #MergersandAcquisitions",27,10,6,43,"[""#256"", ""#Accounting"", ""#MergersandAcquisitions""]",https://www.linkedin.com/posts/nathansaperia_accounting-mergersandacquisitions-activity-7373687169942470659-_iC8,Default
Nicolas Boucher,unknown,2025-09-15,"I got the chance to get insights on AI is used in SAP

If you use SAP, you should check this: https://lnkd.in/efg452QS

This upcoming session will show how AI can boost revenue, manage risk, and keep your finance operations compliant

I have prepared an infographic with screenshots to show you how you will be able to use AI in SAP!

---
Full disclosure: I am partnering with SAP S/4HANA Cloud ERP to raise awareness about how AI is going to be integrated in SAP and how it will help finance teams.
This paid partnership contributes to my mission of helping all the Finance professionals to embrace AI and understand how to use it in their work!
---

Here are the 3 use cases that will impact Finance the most:

1️⃣ Financial Business Insights (screenshot 1 in infographic)

SAP’s AI-powered financial insights allow finance teams to go beyond traditional accounting.

From identifying cost center deviations to forecasting future expenditures, AI ensures finance professionals make data-driven decisions with real-time analytics.


2️⃣ Assisted Configuration for Complex Processes (screenshot 2 in infographic)

Configuring depreciation keys, tax codes, and compliance standards can be daunting.

SAP’s AI simplifies these tasks, helping finance teams automate configurations and optimize decisions without needing specialized technical expertise.


3️⃣ Guided Error Resolution in Financial Closing (screenshot 3 in infographic)

The financial close process can be error-prone and time-consuming.

SAP’s AI streamlines this by automatically detecting discrepancies, guiding teams to quick solutions, and speeding up the close process, reducing delays.


👉 My goal is to bring you the best news on AI for Finance.
As an ex-user of SAP and knowing how big is SAP in Europe and in the world, I am proud to have worked with SAP to show you how they will use AI in their ERP

I know many of you are waiting for it!

------
Original content issued from the SAP article that you can find here: https://lnkd.in/dWsjnuyP

Join the webinar here: https://lnkd.in/efg452QS",181,24,11,216,[],https://www.linkedin.com/posts/bouchernicolas_i-got-the-chance-to-get-insights-on-ai-is-activity-7373370552977203200-KcaI,Default
My Profile,saulmateos,2025-09-15,"The Best Leadership Advice I’ve Read This Month

Last week, my colleague Danika R., VP of Operations at Gain, published an article that really stayed with me: “If I Had 15 Minutes With Every Person on My Team, Here’s What I’d Say.”

Her message was simple but profound:
→ Be quick to listen, but not quick to respond.
→ Use the tools, but don’t lose your judgment.
→ And above all, remember there’s a real person on the other side of every file.

I’ve had the privilege of working alongside Danika, and I’ve seen her lead with exactly these principles. 

In a high-stakes, high-speed business, it’s easy to focus on efficiency alone. What Danika reminds us is that efficiency without empathy is fragile.

As finance leaders, we talk a lot about data, forecasting, and strategy. But the same truth applies in finance as in operations: it’s not just what gets done it’s how we show up that defines us.

Danika’s perspective is a powerful reminder that culture, empathy, and human connection aren’t “soft skills” they’re competitive advantages.

I encourage you to read her article, Link in comment",22,4,,26,[],https://www.linkedin.com/posts/saulmateos_the-best-leadership-advice-ive-read-this-activity-7373358637421076480-sswt,Default
Nate Saperia,nathansaperia,2025-09-15,"KPIs are in style. Every “strategic finance” professional throws around the term. But let’s break down how strategic they actually are.

In professional services, the big KPIs are well known:
● Utilization rate
● Realization rate
● Revenue per consultant
● Gross margin by client

Useful? Absolutely. Actionable? Rarely. By the time utilization dips or realization falls, the damage is already done. These KPIs are lagging indicators.

That’s why I’ve been leaning into a different lens: aKPIs — actionable KPIs.

👉 aKPIs measure the levers you can pull today.
Examples of professional services aKPIs:
● Pipeline health aKPI: % of proposals delivered within 5 business days of client request.
● Engagement efficiency aKPI: # of proactive scope-change conversations initiated with clients.
● Talent leverage aKPI: Hours delivered by associates vs. partners on major accounts.
● Client success aKPI: % of deliverables reviewed internally 48+ hours before deadlines.

But here’s the nuance: simply calling something an aKPI isn’t enough.
For an aKPI to actually drive results, you need infrastructure:

1. Real-time tracking → If an aKPI is only updated monthly, it’s no longer actionable. Weekly or daily visibility is a must.
2. Lever maps → For each aKPI, you need a clear process map: “When this metric slips, here are the 2–3 levers to pull.” Otherwise, you’re monitoring without action.
3. Trigger systems → Alerts and dashboards that surface drift in time to act — not just in time to report.

That’s when an aKPI becomes more than a number. It becomes a control system.

I was inspired to sharpen this framing in a conversation with Soufyan Hamid, who’s been pushing the finance community to rethink how we measure and communicate performance.

🔹 Curious to hear: what’s one KPI you’ve turned into an aKPI, and how have you built the systems to make it truly actionable?",19,11,1,31,[],https://www.linkedin.com/posts/nathansaperia_kpis-are-in-style-every-strategic-finance-activity-7373337122776457216-MYDo,Default
Nate Saperia,nathansaperia,2025-09-14,"I’ve seen this mistake across PE-backed companies: 

Defensiveness.

Friday night asks. Reporting feedback on the “best-in-class” deck. Advisors showing up without warning.

Finance teams bristle.
It feels like criticism.
Why fix what’s working?

But the strongest teams learn to reframe it.

It’s not about what’s broken — it’s about what’s possible.

When investors push, it’s often not doubt — it’s conviction.
“You’re already performing — let’s take it further.”

And let’s not forget: they have pressure too.
LPs. Timelines. Portfolios to defend.

They’re not just your investors — they have investors of their own.

The same thing happens when external advisors show up.

It’s easy to get defensive:
“Why are they here?”
“What do they think we missed?”

But great advisors don’t show up to poke holes.
They show up to protect the upside.
To spot blind spots before they show up in the numbers.

The best finance leaders I’ve seen don’t flinch.
They collaborate.
Not because they’re uncertain —
but because they’re confident enough to welcome the help.",11,6,1,18,[],https://www.linkedin.com/posts/nathansaperia_ive-seen-this-mistake-across-pe-backed-companies-activity-7373102199759085569-E_pj,Default
Nicolas Boucher,unknown,2025-09-14,"Monthly Closing Checklist (would you add anything?)

+ a Free event on AI for Monthly Closing: https://lnkd.in/gQysY7DM

I am partnering with Trintech to give you a masterclass on how to close your books better and faster!

----

Month-end can feel overwhelming — chasing down missing entries, reconciling accounts, double-checking everything under pressure.

✅ That’s why I created this Month-End Accounting Checklist
A visual guide to help you stay organized, error-free, and on time across:
- General Ledger
- Payroll & Benefits
- Accounts Payable & Receivable
- Inventory
- Financial Reporting
- Internal Controls
...and more.

Share it with your team, and use it to bring structure to your monthly close.
🎥 And if you’re ready to go one step further...

Join me for this live masterclass
📅 This Tuesday 16 September 

We’ll walk through how automation and AI can eliminate manual work, speed up your close, and give your team back time (and sanity).

👉 Register now to save your seat
https://lnkd.in/gQysY7DM

This checklist + the webinar = your complete strategy to fix the close",254,13,22,289,[],https://www.linkedin.com/posts/bouchernicolas_monthly-closing-checklist-would-you-add-activity-7372945382604959744-wJkZ,Default
Nicolas Boucher,unknown,2025-09-13,"Top 10 CEO KPIs

📚 Bonus: Top 100 KPIs: https://lnkd.in/eqDuvRfy

These are the 10 KPIs I would recommend you to know:

1. Revenue Growth

Description: Measures the increase in revenue from one period to another.

Formula: (Current period revenue - Previous period revenue) / Previous period revenue

2. Gross Profit Margin

Description: Measures the percentage of revenue that exceeds the cost of goods sold.

Formula: (Revenue - Cost of Goods Sold) / Revenue

3. Net Profit Margin

Description: Percentage of revenue that remains after all expenses.

Formula: (Net Income / Revenue) x 100

4. Return on Investment (ROI)

Description: Measures the return on investment for a particular project or investment.

Formula: (Gain from investment - Cost of investment) / Cost of investment

5. Earnings per Share (EPS)

Description: Measures the amount of net income attributed to each outstanding share of common stock.

Formula: (Net Income - Preferred Dividends) / Average Outstanding Shares

6. Customer Acquisition Cost (CAC)

Description: Measures the cost of acquiring new customers.

Formula: Total Marketing and Sales Costs / Number of New Customers Acquired

7. Customer Lifetime Value (CLV)

Description: Measures the total value a customer brings to the company over their lifetime.

Formula: (Average Annual Revenue per Customer x Average Customer Lifespan) - Customer Acquisition Cost

8. Employee Engagement

Description: Measures the level of employee satisfaction and commitment to the company.

Formula: Employee Engagement Score based on the average of responses of an employee survey

9. Employee Turnover

Description: Measures the rate at which employees are leaving the company.

Formula: (Number of Employees who left during the period / Average Number of Employees during the period) x 100

10. Cash Flow

Description: Measures the cash inflows and outflows of the company during a given period.

Formula: Operating Cash Flow + Investing Cash Flow + Financing Cash Flow

👉 Which other KPIs would you add?

📚 Don't forget to download your free PDF of the top 100 KPIs:
https://lnkd.in/eqDuvRfy",1872,11,109,1992,[],https://www.linkedin.com/feed/update/urn:li:groupPost:7037632-7372749421060603904,Default
Nicolas Boucher,unknown,2025-09-13,"Excel Explained to Kids

Top 100 Excel shortcuts: https://lnkd.in/e_ZRnM6a
(Shortcuts for the adults!)

When you were a kid, math felt like magic.
You typed numbers on a calculator, and suddenly it gave you an answer

Now imagine explaining to a kid what Excel can do…
It’s not just about numbers

It’s about keeping scores, making colorful charts, 
or even tracking pocket money savings

That’s the beauty of Excel:
It organizes chaos into tidy tables
It turns boring rows into bright charts that tell stories

It reduces mistakes by doing the math exactly the same way every time.
And the formulas?

Think of them like little spells:
=AVERAGE() finds the “middle” score in your test results
=MAX() shows your highest video-game score
=COUNT() tells how many days you practiced piano

It’s like magic dominoes: change one number, and the entire sheet updates instantly

That’s why I made this visual guide Excel Explained to Kids
to show how powerful (and fun) it can be

and for adults, I have a little something for you as well...

My collection of Top 100 Excel shortcuts

Free just for you, get it in HD here: https://lnkd.in/e_ZRnM6a

👉 Save it, share it, or show it to someone learning Excel for the first time

💬 Did you wish someone explained Excel to you this way when you started?",464,1,24,489,[],https://www.linkedin.com/feed/update/urn:li:groupPost:4780594-7372579084264185857,Default
Nate Saperia,nathansaperia,2025-09-12,"🚨 “This post is clearly AI-generated.”
That’s what a troll commented recently.

Here’s the truth:
👉 Heck ya I use AI. I’d be silly not to.
👉 But my posts are AI edited, not AI generated. There's a difference.

My insights come from 20 years of scars in finance—both in-house and advisory. I’ve seen wins, failures, and expensive mistakes. That perspective is mine.

AI doesn’t create my experience or generate my insights. It helps me sharpen how I communicate them.

For years, I’ve been told my insights are strong… but sometimes my communication style gets in the way. So why wouldn’t I use a tool to sharpen my delivery, so the good ideas actually land?

Some of my ideas are great. Some aren’t. That’s fine. But they’re mine.

And honestly—trolling someone for using AI to help communicate ideas is like telling an accountant not to automate month-end close.

Why wouldn’t you use modern tools to make the hard stuff easier—so you can focus on the higher-value work, like actually thinking through the insights?",11,1,,12,[],https://www.linkedin.com/posts/nathansaperia_this-post-is-clearly-ai-generated-that-activity-7372394284500557824-UbGX,Default
Nicolas Boucher,unknown,2025-09-12,"The Fast Close Playbook

👉 Tuesday I will show you how (Live): https://lnkd.in/eCt7wq5w

👉 Join me live to see this in action in this free webinar organized by Trintech
No fluff. No theory. Only live AI use cases

What you will see:
1. Live AI in action: Watch reconciliations, journal entries, and close workflows get done with AI
2. Kill the chaos: Ditch the manual spreadsheet mayhem & learn anomaly detection, smart suggestion, and real risk reduction
3. Smarter metrics, not just faster closes: AI-powered KPIs and continuous close models that deliver insight and speed
4. Stay in command: Built-in tech with explainability, transparency, and audit-readiness
5. Get AI-ready: Learn what AI-ready data actually looks like

Date: Tuesday, September 16th
North America: 7:30AM PT | 9:30AM CT | 10:30AM ET
Europe: 15:30 BST | 16:30 CEST


-

Every month, you probably need to manually merge CSVs, categorize expenses, and reformat reports just to get through close.
Copy. Paste. Repeat

That was my case for some of my accounting process in my business.

So built a simple automation stack using AI — and shaved hours off my month-end process.

Here’s how you can do the same

✅ Traditional Automation – Python + Google Sheets

✅ AI Workflows – Custom GPTs for document processing

✅ AI Agents – Trigger-based actions to handle tasks automatically

----

Here are 3 practical ways finance teams can use AI to save time, reduce errors, and focus on higher-value work:

1️⃣ Automating the Close with AI

- Use Python scripts or Google Apps Script to clean, merge, and format data
- Automate file cleanup in Google Sheets or Excel
- No more manually removing empty rows or formatting columns


2️⃣ AI for Expense Categorization

One of the biggest time-wasters? Manually categorizing expenses.
You can automate this using a Custom GPT:

Steps include:
- Create your GPT
- Upload a CSV
- Let GPT classify expenses by category
- Download a clean, categorized report for upload

One finance pro from the AI Finance Club eliminated 90% of manual expense categorization using this!

3️⃣ Categorization Agent

📥 With tools like n8n, you can:

- Detect incoming CSV files
- Clean data with formatting rules
- Use AI to categorize each transaction
- Output everything neatly into a single file

👉 See AI close in action—register here: https://lnkd.in/gQysY7DM

Speakers include:

1. Me, Nicolas Boucher - Finance Thought Leader specialized in AI with almost 1.2m followers on Linkedin

2. Christopher Witt - Director of Product Marketing at Trintech

🔁 Repost if you think more CFOs and finance leaders should see this shift",66,12,2,80,[],https://www.linkedin.com/posts/bouchernicolas_the-fast-close-playbook-tuesday-i-will-activity-7372360164227825664-PuQ6,Default
My Profile,saulmateos,2025-09-12,"Excel is the cockroach of enterprise software that survived all nuclear winter.
Neither Python, Tableau, Power BI, nor even AI could kill it.

We’ve all tried the “AI replaces spreadsheets” experiment.
You prompt ChatGPT to adjust a model. It rebuilds everything.
Nothing ties. You fight it for two hours...
Then reopen Excel and fix it in 20 minutes.

That’s not failure. That’s judgment.

My team now uses AI to write formulas, prep data, even draft dashboards.

But we still deliver in Excel because when your CFO asks
“Where did this number come from?”
you need to click through the logic, not re-run a prompt.

This is how we actually work in 2025.

I shared the full breakdown in this week’s newsletter.
Click below to read and subscribe.",10,,,10,[],https://www.linkedin.com/posts/saulmateos_excel-is-the-cockroach-of-enterprise-software-activity-7372271748450361344-pWOY,Default
Nate Saperia,nathansaperia,2025-09-12,"Want to be a CFO? Do it for the right reasons.

I used to think becoming a CFO meant I’d finally made it.

The title. The boardroom. The strategy. The upside.

But here’s the part that doesn’t show up in the headlines:
→ It’s lonely.
→ You’re constantly on the hook.
→ If anything breaks, your name’s the first on the list.
→ And yes—at every level up the finance ladder, I’ve worked more, not less.

In private equity-backed companies, CFO turnover is sky-high.
Why?
A mix of burnout + zero tolerance for underperformance.
The expectations are brutal—and not always realistic.

To the up-and-comers in finance:

I know it’s tempting to chase the title.
But make sure you know what you’re really signing up for.
It’s not prestige. It’s pressure.
It’s not just numbers. It’s narrative, politics, and accountability.

👉 To the CFOs out there:
I respect you more than you can imagine.
You carry a weight most people never see.
You hold the line when no one else can.

If you want to become a CFO, do it.
But do it for the right reasons:
→ Because you love owning the outcome
→ Because you can lead through chaos
→ Because you’re willing to be the one who stays calm when everyone else panics

Just don’t do it for the LinkedIn headline.

💬 Curious to hear from other finance folks:
What do you wish someone had told you earlier?",78,28,3,109,[],https://www.linkedin.com/posts/nathansaperia_want-to-be-a-cfo-do-it-for-the-right-reasons-activity-7372259504085712896-1Mjr,Default
Eliezer Nerenberg,eliezer-nerenberg,2025-09-12,"In PI, we're not just processing cases—we're supporting attorneys, providers, and injured people through some of their most challenging moments. That requires more than efficiency; it requires leaders who understand that speed without discernment creates costly mistakes.

""Be quick to listen, but not quick to respond. Use the tools, but don't lose your judgment. And above all, remember—there's a real person on the other side of every file.""

Working alongside Danika R. every day, I see these principles in action—and they're exactly what sets our operations team apart.

Danika's approach to scaling human-centered work across 50+ team members is a masterclass in operational leadership. 

When you lead with both empathy and expertise, you don't just resolve cases—you build the kind of trust that makes you the partner people call first.

Proud to work with leaders like this at Gain 

https://lnkd.in/era2vvMx",4,,,4,[],https://www.linkedin.com/posts/eliezer-nerenberg_15-minutes-with-my-team-leading-with-empathy-activity-7372249680711151617-nRHf,Gain Company
Nicolas Boucher,unknown,2025-09-11,"Which one do you prefer? ChatGPT or Copilot or Gemini?

+ Get my Top 100 ChatGPT tips (free): https://lnkd.in/eV-_u39p

Which GenAI should I actually use—
ChatGPT, Copilot, or Gemini?

Is the question I get a lot of times
That's why I created this guide for you

The truth is, each tool shines in different areas:

1️⃣ ChatGPT → The all-rounder. Works anywhere, great for research, Q&A, and reasoning

2️⃣ Copilot → Best for Microsoft 365 power users (Excel, Outlook, Teams)

3️⃣ Gemini → Built deep into Google Workspace (Docs, Sheets, Gmail)

I broke down the differences in:
1. Models
2. Pricing
3. Free vs. paid features
4. Enterprise strengths
5. Data security
6. and more

Into this one-page comparison

So if you’ve ever wondered which tool is best for you or your team,
this carousel gives you the full picture

I also have Top 100 ChatGPT tips for you right here,
Downloadable PDF for you: https://lnkd.in/eV-_u39p

And soon I'm making one for Gemini and Copilot
so follow if you don't want to miss it!

💬 Which one are you using most right now?

🔁 Repost to help your team choose the right GenAI",1880,2,250,2132,[],https://www.linkedin.com/feed/update/urn:li:groupPost:54066-7372028041331515392,Default
Nicolas Boucher,unknown,2025-09-11,"World of AI & Data

Top 100 ChatGPT tips: https://lnkd.in/eW-Db8VA

A few years ago, finance was all about Excel models, reports, and reconciliations

Today? AI and data are rewriting the rules

AI tools are quickly becoming a must-have skill for every finance professional

This is why I am giving you my Top 100 ChatGPT tips
https://lnkd.in/eW-Db8VA

The easiest AI tool to start using in any field of work +

Full breakdown of key AI concepts and their applications:

1. Automation and Data Processing

• BChain (Blockchain): Secure, transparent transactions for payments and trading

• API (Application Programming Interface): Seamless data exchange for faster workflows

• RPA (Robotic Process Automation): Automates repetitive tasks to improve efficiency

• OCR (Optical Character Recognition): Text recognition for document processing

• DWH (Data Warehousing): Centralized storage for advanced financial analytics


2. Language Understanding

• ASR (Automatic Speech Recognition): Converts spoken language to text for transcription services

• GPT (Generative Pre-trained Transformer): AI models for customer support and content generation

• TTS (Text-to-Speech): Converts written data to spoken formats

• LLM (Large Language Model): Understands and generates human-like text for AI applications

• NLP (Natural Language Processing): Powers chatbots, fraud detection, and customer service


3. Data Analysis and Modeling

• ML (Machine Learning): Credit scoring and predictive algorithms

• DL (Deep Learning): Analyzes complex data for predictive insights

• K-NN (K-Nearest Neighbors): Customer segmentation and classification

• GAN (Generative Adversarial Network): Synthetic data generation for fraud detection

• PCA (Principal Component Analysis): Risk management and data reduction

• SVM (Support Vector Machines): Market analysis and anomaly detection

• K-M (K-Means Clustering): Organizes data for market segmentation and insights

• Naive Bayes: Quick, reliable classification for fraud detection

How many of these did you know?

👉 Top 100 ChatGPT tips here: https://lnkd.in/eW-Db8VA

🔁 Repost to help others learn",218,1,25,244,[],https://www.linkedin.com/feed/update/urn:li:groupPost:7036558-7372027369731149826,Default
